Client,Account Manager,Designer,Pathway,Task,Deadline
Bohemians FC,Daniel Ennis,Ken Johnston,Critical Pathway,Schedule feedback meeting with client,2026-11-05
Bohemians FC,Daniel Ennis,Ken Johnston,Critical Pathway,Schedule initial meeting with client and present proposed designs to client,2026-01-15
Bohemians FC,Daniel Ennis,Ken Johnston,Critical Pathway,Obtain sign off on designs with any amendments proposed by the client,2026-02-14
Bohemians FC,Daniel Ennis,Ken Johnston,Critical Pathway,Request samples and embellishments,2026-03-15
Bohemians FC,Daniel Ennis,Ken Johnston,Critical Pathway,Get final sign off on samples,2026-05-15
Bohemians FC,Daniel Ennis,Ken Johnston,Critical Pathway,Provide forecasts to production for all garments and embellishments,2026-05-30
Bohemians FC,Daniel Ennis,Ken Johnston,Critical Pathway,Process all orders,2026-07-01
Bohemians FC,Daniel Ennis,Ken Johnston,Critical Pathway,Order all photo samples for shoots/product images,2026-07-05
Bohemians FC,Daniel Ennis,Ken Johnston,Critical Pathway,Deliver all orders to clients,2026-10-01
Bohemians FC,Daniel Ennis,Ken Johnston,Critical Pathway,Request feedback from clients on orders delivered,2026-11-01
